ID,rodata,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,pontos_mandante,chutes_mandante,chutes_no_alvo_mandante,posse_de_bola_mandante,passes_mandante,precisao_passes_mandante,faltas_mandante,cartao_amarelo_mandante,cartao_vermelho_mandante,impedimentos_mandante,escanteios_mandante,pontos_visitante,chutes_visitante,chutes_no_alvo_visitante,posse_de_bola_visitante,passes_visitante,precisao_passes_visitante,faltas_visitante,cartao_amarelo_visitante,cartao_vermelho_visitante,impedimentos_visitante,escanteios_visitante
96,8,11/5/2003,18:00,Gremio,Coritiba,,,,,Gremio,Olímpico,1,0,RS,PR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,9,17/5/2003,16:00,Fluminense,Figueirense,,,,,Fluminense,Maracanã Fluminense,3,0,RJ,SC,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,9,17/5/2003,16:00,Sao Caetano,Atletico-MG,,,,,Sao Caetano,Anacleto Campanella,2,0,SP,MG,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,9,17/5/2003,18:00,Juventude,Santos,,,,,-,Alfredo Jaconi,1,1,RS,SP,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100,9,18/5/2003,16:00,Bahia,Paysandu,,,,,Bahia,Fonte Nova,2,0,BA,PA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,9,18/5/2003,16:00,Internacional,Athletico-PR,,,,,-,Beira Rio,1,1,RS,PR,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
102,9,18/5/2003,16:00,Coritiba,Vasco,,,,,-,Couto Pereira,1,1,PR,RJ,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
103,9,18/5/2003,16:00,Cruzeiro,Corinthians,,,,,-,Mineirão Cruzeiro,1,1,MG,SP,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
104,9,18/5/2003,16:00,Fortaleza,Goias,,,,,Fortaleza,Castelão Fortaleza,1,0,CE,GO,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,9,18/5/2003,16:00,Ponte Preta,Gremio,,,,,Ponte Preta,Moisés Lucarelli,2,1,SP,RS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,9,18/5/2003,16:00,Criciuma,Vitoria,,,,,-,Heriberto Hulse,1,1,SC,BA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
107,9,18/5/2003,18:00,Flamengo,Guarani,,,,,-,Maracanã Flamengo,1,1,RJ,SP,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108,9,18/5/2003,18:00,Sao Paulo,Parana,,,,,Sao Paulo,Morumbi,2,0,SP,PR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,10,24/5/2003,16:00,Atletico-MG,Fluminense,,,,,Atletico-MG,Independência,3,0,MG,RJ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,10,24/5/2003,16:00,Parana,Sao Caetano,,,,,-,Pinheirão,1,1,PR,SP,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
111,10,24/5/2003,16:00,Corinthians,Juventude,,,,,Corinthians,Pacaembu,3,0,SP,RS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,10,24/5/2003,18:00,Vasco,Ponte Preta,,,,,Vasco,São Januário,1,0,RJ,SP,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,10,25/5/2003,16:00,Athletico-PR,Flamengo,,,,,Athletico-PR,Arena da Baixada,4,1,PR,RJ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,10,25/5/2003,16:00,Paysandu,Coritiba,,,,,Coritiba,Mangueirão,1,3,PA,PR,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
115,10,25/5/2003,16:00,Goias,Criciuma,,,,,Criciuma,Serra Dourada,0,2,GO,SC,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
116,10,25/5/2003,16:00,Gremio,Sao Paulo,,,,,Sao Paulo,Olímpico,1,2,RS,SP,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
117,10,25/5/2003,16:00,Guarani,Fortaleza,,,,,Guarani,Brinco de Ouro,2,1,SP,CE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,10,25/5/2003,16:00,Figueirense,Bahia,,,,,Figueirense,Orlando Scarpelli,1,0,SC,BA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,10,25/5/2003,18:00,Vitoria,Cruzeiro,,,,,Vitoria,Barradão,2,1,BA,MG,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,10,25/5/2003,18:00,Santos,Internacional,,,,,Santos,Vila Belmiro,2,1,SP,RS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,11,31/5/2003,16:00,Fluminense,Athletico-PR,,,,,Fluminense,Édson Passos,2,1,RJ,PR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,11,31/5/2003,16:00,Cruzeiro,Criciuma,,,,,Cruzeiro,Mineirão Cruzeiro,2,0,MG,SC,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,11,31/5/2003,16:00,Coritiba,Guarani,,,,,Coritiba,Couto Pereira,3,2,PR,SP,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,11,31/5/2003,16:00,Ponte Preta,Sao Caetano,,,,,-,Moisés Lucarelli,0,0,SP,SP,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
